batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
DJ Thornely,39,2.175925925925926,0.5925925925925926,0.7037037037037037,3,14.453240740740739
N Sindhu,37,3.94,0.56,1.08,2,14.262999999999998
Joginder Sharma,36,3.433333333333333,3.4,0.5333333333333333,4,14.245
L Balaji,36,2.81,3.54,0.12,7,14.0345
Sohail Tanvir,36,3.2903225806451615,1.7419354838709677,0.8064516129032258,3,13.932258064516128
A Mithun,34,5.596153846153846,2.3461538461538463,0.46153846153846156,5,13.860576923076922
AN Ahmed,36,1.2222222222222223,3.4074074074074074,1.2222222222222223,1,13.831481481481482
YS Chahal,37,0.8370786516853933,2.943820224719101,0.14606741573033707,6,13.777247191011236
Anureet Singh,36,1.7872340425531914,2.978723404255319,0.425531914893617,4,13.727659574468086
M Ashwin,35,3.51,3.08,-0.1,8,13.7235
KW Richardson,36,2.2051282051282053,2.2051282051282053,0.5384615384615384,3,13.7
RA Bawa,35,2.84375,2.28125,0.625,3,13.5421875
AP Dole,34,2.8043478260869565,3.1739130434782608,1.0869565217391304,2,13.453260869565215
A Kumble,35,0.5,3.183673469387755,0.6530612244897959,2,13.14234693877551
B Sumanth,35,0.8026315789473685,2.473684210526316,0.8157894736842105,1,13.108552631578949
L Ronchi,34,3.0135135135135136,0.7837837837837838,0.5945945945945946,3,12.929054054054053
Imran Tahir,33,2.4054054054054053,3.27027027027027,0.3783783783783784,4,12.88108108108108
S Sreesanth,34,0.34210526315789475,3.736842105263158,0.5087719298245614,3,12.834649122807019
Navdeep Saini,33,2.5657894736842106,2.736842105263158,0.39473684210526316,4,12.817763157894737
D Salunkhe,33,1.8333333333333333,2.5416666666666665,1.1666666666666667,1,12.749999999999998
GF Linde,31,3.9285714285714284,3.7142857142857144,0.8095238095238095,3,12.73690476190476
G Coetzee,31,4.4393939393939394,3.0303030303030303,0.12121212121212122,6,12.590151515151513
Arshdeep Singh,32,2.204081632653061,3.673469387755102,0.1836734693877551,6,12.522448979591836
RJ Peterson,32,2.734375,2.21875,0.6875,3,12.464843749999998
AT Carey,32,1.706896551724138,3.3448275862068964,0.8275862068965517,2,12.461206896551722
T Taibu,31,3.923076923076923,1.5,0.6153846153846154,3,12.253846153846153
Basil Thampi,32,1.135135135135135,3.027027027027027,0.7027027027027027,2,12.229729729729728
Noor Ahmad,30,3.7777777777777777,3.3703703703703702,-0.35185185185185186,10,12.04814814814815
NS Naik,31,1.8113207547169812,1.9056603773584906,0.3018867924528302,4,11.744339622641508
S Sriram,31,2.289473684210526,0.5,0.7631578947368421,2,11.674999999999999
Akshat Raghuwanshi,29,4.166666666666667,0.4444444444444444,0.6296296296296297,3,11.40648148148148
J Syed Mohammad,29,2.314814814814815,2.2962962962962963,0.7407407407407407,2,11.33611111111111
VH Zol,29,3.269230769230769,0.6538461538461539,0.7307692307692307,2,11.244230769230766
Akash Deep,25,6.357142857142857,3.357142857142857,0.7142857142857143,3,11.153571428571427
Shivang Kumar,26,5.543478260869565,3.1739130434782608,0.08695652173913043,5,11.138043478260869
SB Jakati,28,1.3166666666666667,3.5,0.6333333333333333,2,10.955833333333333
NL McCullum,26,3.5217391304347827,2.869565217391304,0.5652173913043478,3,10.667391304347825
AB Dinda,26,3.6,3.36,-0.3,9,10.612
PJ Sangwan,26,3.4893617021276597,3.1914893617021276,-0.1276595744680851,8,10.585106382978722
Kartik Tyagi,24,5.6,3.68,-0.16,6,10.504
AS Joseph,27,0.421875,3.25,0.71875,1,10.34921875
ER Dwivedi,24,4.533333333333333,2.4,1.2666666666666666,2,10.266666666666666
JM Kemp,26,2.74,1.64,0.68,2,10.248999999999999
A Choudhary,25,2.675,3.4,0.75,2,10.24875
AS Rajpoot,26,1.6585365853658536,3.4634146341463414,0.17073170731707318,4,10.241463414634145
Mohsin Khan,25,2.693548387096774,3.4838709677419355,0.25806451612903225,4,10.171774193548387
AA Kulkarni,26,3.1875,0.75,0.34375,3,10.115625
Sanvir Singh,25,2.7045454545454546,2.5454545454545454,0.7727272727272727,2,10.089772727272727
Yudhvir Singh,22,6.6875,3.25,0.125,4,10.046875
