batter,batsman_runs,impact_score,death_score
R Parag,417,3.3485401459854014,251.53941605839415
F du Plessis,416,3.5295454545454548,251.01181818181817
RV Uthappa,415,3.08,250.232
DA Warner,415,2.8151260504201683,250.12605042016807
EJG Morgan,404,2.766798418972332,243.50671936758891
CH Gayle,404,2.665071770334928,243.46602870813396
PP Chawla,403,3.255192878338279,243.1020771513353
Dhruv Jurel,392,2.560810810810811,236.2243243243243
JP Faulkner,389,2.791497975708502,234.5165991902834
AM Rahane,386,2.288381742738589,232.51535269709544
SS Tiwary,382,2.0673076923076925,230.02692307692305
PJ Cummins,370,3.0123456790123457,223.20493827160493
Washington Sundar,360,3.0576923076923075,217.22307692307692
Tilak Varma,353,3.071794871794872,213.02871794871794
DJ Hooda,348,3.096774193548387,210.03870967741935
SM Curran,343,3.0098039215686274,207.00392156862745
KS Williamson,339,2.3033175355450237,204.321327014218
Shubman Gill,337,2.6644444444444444,203.26577777777777
STR Binny,336,2.6401869158878504,202.65607476635515
JM Sharma,335,2.669230769230769,202.0676923076923
M Shahrukh Khan,329,2.6961722488038276,198.47846889952154
S Badrinath,329,2.4976076555023923,198.39904306220097
Mandeep Singh,326,3.0334928229665072,196.8133971291866
Ashutosh Sharma,325,2.981081081081081,196.19243243243244
AD Mathews,322,2.708520179372197,194.28340807174888
NV Ojha,313,2.796943231441048,188.9187772925764
DPMD Jayawardene,313,2.2405405405405405,188.6962162162162
Y Venugopal Rao,311,2.9468599033816427,187.77874396135266
N Rana,308,3.4694444444444446,186.18777777777777
JH Kallis,303,3.210691823899371,183.08427672955972
B Kumar,299,2.393092105263158,180.35723684210527
SR Watson,295,3.6104294478527605,178.4441717791411
MC Henriques,290,2.57185628742515,175.02874251497005
GJ Bailey,287,2.5063291139240507,173.20253164556962
CL White,283,2.5844155844155843,170.83376623376623
DJ Hussey,277,2.8944099378881987,167.35776397515528
Shakib Al Hasan,274,2.5870646766169156,165.43482587064676
P Kumar,271,2.614,163.6456
Naman Dhir,267,3.1307692307692307,161.45230769230767
Shahbaz Ahmed,262,2.61046511627907,158.24418604651163
DT Christian,261,2.6974358974358976,157.67897435897436
Ishan Kishan,259,4.227941176470588,157.09117647058824
SN Khan,253,3.233108108108108,153.09324324324322
LS Livingstone,242,3.2886178861788617,146.51544715447153
R Powell,240,2.824626865671642,145.12985074626866
R Vinay Kumar,239,2.9613526570048307,144.58454106280195
A Symonds,239,2.279220779220779,144.31168831168833
A Mishra,237,2.228506787330317,143.09140271493212
R Bhatia,229,3.980132450331126,138.99205298013246
KV Sharma,228,2.776470588235294,137.9105882352941
P Negi,226,2.8493975903614457,136.73975903614456
AM Nayar,224,3.3049645390070923,135.72198581560284
LRPL Taylor,224,2.6382978723404253,135.45531914893618
JC Archer,217,3.1145833333333335,131.44583333333333
NLTC Perera,215,2.986013986013986,130.1944055944056
KK Nair,211,3.675438596491228,128.0701754385965
AK Markram,211,2.3266129032258065,127.53064516129032
RD Gaikwad,210,2.3360655737704916,126.93442622950819
BCJ Cutting,208,2.969298245614035,125.98771929824561
M Manhas,204,1.9155844155844155,123.16623376623376
MM Ali,203,3.3780487804878048,123.15121951219511
AJ Finch,203,2.919230769230769,122.9676923076923
OA Shah,202,1.9818840579710144,121.99275362318839
Gurkeerat Singh,201,3.2846153846153845,121.91384615384615
SE Rutherford,200,3.0576923076923075,121.22307692307692
JO Holder,197,3.0193548387096776,119.40774193548386
RN ten Doeschate,193,3.066371681415929,117.02654867256636
MA Agarwal,192,4.277777777777778,116.9111111111111
A Ashish Reddy,192,2.6589147286821704,116.26356589147285
HV Patel,191,3.851973684210526,116.14078947368421
SN Thakur,189,3.827338129496403,114.93093525179856
LR Shukla,189,2.5364963503649633,114.41459854014597
UT Yadav,184,2.0233918128654973,111.2093567251462
C Green,183,1.9330357142857142,110.57321428571429
R Shepherd,181,2.9583333333333335,109.78333333333333
Harpreet Brar,181,1.8392857142857142,109.33571428571427
